BGM
PSE
DLG
INL
MSY
GEG
BUR
SNA
GRB
GTF
IDA
GRR
LWB
EUG
PSG
PVD
GSO
MYR
OAK
MSN
COD
BTM
FAR
FSM
MQT
SCC
DCA
RFD
MLU
CID
LWS
GTR
WRG
HLN
LEX
RDM
FLO
ORF
SCE
EVV
KTN
CRW
CWA
SAV
TRI
CDV
CMH
MOD
CAK
TYR
ADK
CHO
MOB
PNS
MCN
CEC
LIH
IAH
HNL
SHV
ERI
GST
SJC
CVG
TOL
BUF
TLH
LGA
CDC
ACT
HPN
RDD
AUS
MLI
GCC
SJU
ATW
DHN
LGB
AVL
GJT
LYH
BFL
GFK
RNO
SRQ
SBN
EYW
BJI
JAC
RST
CHS
RSW
TUL
HRL
IPL
AMA
ISP
BOS
MAF
MLB
TUP
EWR
LAS
BIS
OGD
JAN
ITO
FAI
XNA
HHH
DLH
DEN
EWN
RHI
SGU
ALB
CPR
LNK
OME
BOI
IAD
PSP
SBA
IYK
MEI
BRO
DRO
BMI
RKS
SEA
LAN
CMI
LRD
VLD
MCI
PIR
FLG
GRK
BNA
CLT
CLL
TVC
PSC
BLI
CIC
PBI
ABQ
SDF
ACV
LAW
SLE
BDL
DAL
MRY
ITH
DBQ
CLE
PDX
ACK
MFR
MIA
TWF
TPA
BWI
CMX
OKC
ROA
SMF
SPI
BRW
OTH
OXR
ABI
MBS
ELM
PHX
FCA
STL
PWM
ABY
BET
MHT
DFW
ABE
TXK
GSP
LSE
STX
FAY
HDN
GUC
LMT
LBB
EKO
CRP
EGE
FSD
SWF
SUN
CSG
BQK
SFO
MEM
ELP
BHM
FLL
ATL
PIH
YKM
FNT
RIC
AKN
DAY
PHF
OMA
SJT
LCH
TEX
VPS
BPT
LIT
FAT
ICT
CAE
PFN
ORD
AVP
BTV
MKG
AEX
BIL
SPS
ILM
SMX
PIA
RDU
BQN
MFE
MKE
SYR
LFT
HSV
PIT
TUS
MTJ
ACY
ROW
MDW
AZO
PLN
COS
OAJ
JNU
IND
ALO
KOA
GPT
MGM
HOU
DTW
TYS
CHA
YUM
ADQ
ONT
MDT
FWA
JAX
LAX
MSP
MOT
HTS
BTR
BGR
SIT
MCO
ROC
SGF
AGS
OTZ
WYS
SAN
BZN
GGG
YAK
DAB
JFK
ANC
SUX
MSO
GNV
CYS
PHL
OGG
DSM
SAT
SLC
PMD
STT
ASE
RAP
SBP
CLD
